Pos,ID,Name,Race 1-Qualifying,Race 1-Fastest Lap,Race 1-Race,Race 1-Laps Led,Race 1-Positions Gained,Race 2-Fastest Lap,Race 2-Race,Race 2-Laps Led,Race 2-Positions Gained,Race 3-Fastest Lap,Race 3-Race,Race 3-Laps Led,Race 3-Positions Gained,Total
1,461979,Jonathan Collins3,0,5,50,0,11,0,50,0,10,0,55,0,11,192
2,1062148,Sam Bradley,0,0,55,0,18,0,30,0,3,5,50,0,22,183
3,419461,Mitchell West,0,0,30,0,12,0,55,0,21,0,45,0,8,171
4,45526,Marcel Fritsch,5,0,34,0,4,5,45,0,17,0,40,0,9,159
5,562993,Kevin Smith21,0,0,40,0,24,0,28,0,8,0,36,0,20,156
6,565878,Daniel Fritz4,0,0,45,0,12,0,40,0,11,0,34,0,9,151
7,462190,Roy Plummer,0,0,32,0,17,0,34,0,15,0,32,0,13,143
8,1043171,Lewis Mason3,0,0,26,0,13,0,32,0,17,0,0,0,0,88
9,548231,Mark Kent,0,0,28,0,3,0,36,0,18,0,0,0,0,85
10,668882,Costa Chatzikonstantinou,0,0,36,0,24,0,0,0,0,0,0,0,0,60
11,659379,Josh Brown5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,597893,Craig Tillotson5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,385849,Matt Emmens,0,0,0,0,0,0,0,0,0,0,0,0,0,0
