Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,1077088,Robert Savage 3,0,0,15,0,19,34
2,1185490,Oliver Forsström2,0,0,8,0,21,29
3,712518,Steven De Greveleer,0,0,11,0,17,28
4,425754,Kurt Vanhoenacker,0,0,12,0,14,26
5,1139680,Zara McGuinness,0,0,10,0,16,26
6,645127,Elwyn Sykes ,0,1,4,0,15,20
7,710321,Seany Clark,0,0,6,0,13,19
8,869824,Samy Ariba,0,0,7,0,10,17
9,450627,Davide Favo,0,0,9,0,6,15
10,1227536,Joshua Downing3,0,0,1,0,12,13
11,1115893,Mat Gatter,0,0,13,0,0,13
12,1221492,Maciej Kisiel,0,0,0,0,8,8
13,375113,Mark Sykes,0,0,3,0,4,7
14,19519,Dirk Wagner,0,0,5,0,0,5
15,541161,Jonathan berry2,0,0,5,0,0,5
16,1090079,Stijn Weytens,1,0,2,0,0,3
17,1136269,Jarosław Patałuch,0,0,0,0,0,0
18,1221391,Fabian Koziołek,0,0,0,0,0,0
19,435038,Jochen Siegert,0,0,0,0,0,0
20,996524,Gabriel Papaconstantinou,0,0,0,0,0,0
