Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,562993,Kevin Smith21,0,0,15,1,25,41
2,712518,Steven De Greveleer,0,0,12,0,21,33
3,645127,Elwyn Sykes,0,0,13,0,17,30
4,450627,Davide Favo,0,0,9,0,19,28
5,900935,Andy Chell,0,0,11,0,16,27
6,98121,Jeffrey Kruger,0,1,18,0,0,19
7,527169,Andy Rooney,1,0,10,0,0,11
8,668882,Costa Chatzikonstantinou,0,0,8,0,0,8
9,996524,Gabriel Papaconstantinou,0,0,0,0,0,0
10,363804,Erik Sivertsen,0,0,0,0,0,0
11,1035295,Ruben Pinho,0,0,0,0,0,0
12,565878,Daniel Fritz4,0,0,0,0,0,0
