Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,361745,Jake Pitt,0,0,18,1,25,44
2,725757,Baz Meacham,0,1,12,0,21,34
3,452031,Ben Benneyworth2,0,0,15,0,19,34
4,846950,Matthew Cheverton,1,0,13,0,17,31
5,286267,Phil McDougall,0,0,10,0,16,26
6,395972,Nigel Stock,0,0,11,0,0,11
7,34483,Mike Riedner,0,0,9,0,0,9
8,385849,Matt Emmens,0,0,0,0,0,0
9,548231,Mark Kent,0,0,0,0,0,0
10,435038,Jochen Siegert,0,0,0,0,0,0
11,375113,Mark Sykes,0,0,0,0,0,0
12,566232,Kevin Stringer3,0,0,0,0,0,0
