Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,730048,Max Daleiden,0,0,15,0,25,40
2,505814,William Guthrie,1,0,18,1,17,37
3,436196,Gareth Williams7,0,0,11,0,19,30
4,744833,Kerr Wharrie,0,0,8,0,21,29
5,807048,Benjamin Mccluskey,0,1,13,0,15,29
6,417499,Jamie Dorey,0,0,12,0,16,28
7,397835,Filipe Salvino,0,0,10,0,13,23
8,717473,Shaun F Schutte,0,0,9,0,14,23
9,929713,Toby Prosser,0,0,0,0,0,0
10,801520,Rui Soares3,0,0,0,0,0,0
11,684107,Stephan Wessels,0,0,0,0,0,0
12,144404,Igor Martinez,0,0,0,0,0,0
13,764555,Hugo Silva10,0,0,0,0,0,0
