Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,1069108,Jason Raaff,1,1,18,0,0,20
2,532447,Paul N T Williams,0,0,15,0,0,15
3,395972,Nigel Stock,0,0,13,0,0,13
4,181524,Alain McKane,0,0,12,0,0,12
5,34483,Mike Riedner,0,0,11,0,0,11
6,214278,Mark Baker7,0,0,10,0,0,10
7,19519,Dirk Wagner,0,0,9,0,0,9
8,581527,Stephen Fry,0,0,8,0,0,8
9,1117180,Wojciech Kurp,0,0,0,0,0,0
10,968157,Tim Reid,0,0,0,0,0,0
11,568604,Ryan Blackie,0,0,0,0,0,0
12,286267,Phil McDougall,0,0,0,0,0,0
13,846950,Matthew Cheverton,0,0,0,0,0,0
14,875926,Jopie Seimons,0,0,0,0,0,0
15,1117870,George Stone6,0,0,0,0,0,0
16,1016431,brandon vincent-squibb,0,0,0,0,0,0
17,384854,Andy D White,0,0,0,0,0,0
