Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,807048,Benjamin Mccluskey,1,1,18,1,25,46
2,361745,Jake Pitt,0,0,11,0,19,30
3,436196,Gareth Williams7,0,0,13,0,16,29
4,158246,Gavan Gardener,0,0,15,0,13,28
5,1007157,Edwin Simpson,0,0,12,0,12,24
6,640632,Mike Barber,0,0,1,0,21,22
7,416545,Martin Hobson,0,0,5,0,17,22
8,467859,Marcelo Félix,0,0,6,0,15,21
9,717473,Shaun F Schutte,0,0,4,0,14,18
10,846950,Matthew Cheverton,0,0,9,0,8,17
11,1012459,Kyle Oosthuizen,0,0,10,0,4,14
12,98121,Jeffrey Kruger,0,0,7,0,6,13
13,452031,Ben Benneyworth2,0,0,3,0,10,13
14,293575,Mathew Addy,0,0,8,0,0,8
15,795214,James Smaggasgale,0,0,0,0,2,2
16,214278,Mark Baker7,0,0,2,0,0,2
17,181524,Alain McKane,0,0,0,0,1,1
18,888953,Wesley Lewin,0,0,0,0,0,0
19,1077088,Robert Savage3,0,0,0,0,0,0
20,712518,Steven De Greveleer,0,0,0,0,0,0
21,861720,John Meredith3,0,0,0,0,0,0
22,597893,Craig Tillotson5,0,0,0,0,0,0
23,435038,Jochen Siegert,0,0,0,0,0,0
24,1090079,Stijn Weytens,0,0,0,0,0,0
25,385849,Matt Emmens,0,0,0,0,0,0
26,900935,Andy Chell,0,0,0,0,0,0
27,541161,Jonathan Berry2,0,0,0,0,0,0
28,645127,Elwyn Sykes,0,0,0,0,0,0
29,34483,Mike Riedner,0,0,0,0,0,0
30,425754,Kurt Vanhoenacker2,0,0,0,0,0,0
31,1095068,Adam Wilson-Weir,0,0,0,0,0,0
32,996524,Gabriel Papaconstantinou,0,0,0,0,0,0
33,527169,Andy Rooney,0,0,0,0,0,0
34,562993,Kevin Smith21,0,0,0,0,0,0
35,548231,Mark Kent,0,0,0,0,0,0
36,435674,Aaron Hobson,0,0,0,0,0,0
37,648962,Paul Walsh2,0,0,0,0,0,0
38,724528,Danny Switzer,0,0,0,0,0,0
39,492984,Ian Manners,0,0,0,0,0,0
40,725757,Baz Meacham,0,0,0,0,0,0
41,395972,Nigel Stock,0,0,0,0,0,0
42,876012,Ben Altria,0,0,0,0,0,0
